id,name
d9086647-3a82-4634-97bc-6e10347af39b,Bare substrate
f4df7abd-3d51-42fb-8cab-5102b95fad8e,Crustose coralline algae
3218e7ea-8827-4262-96a1-104e5ec50ffc,Cyanobacteria
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,Hard coral
09226989-50e7-4c40-bd36-5bcef32ee7a1,Macroalgae
31c5af16-30d7-4966-97f4-01889a5cf973,Other
3dc38d25-ed80-4049-af16-e85f04f97cc6,Other invertebrates
ed2332ed-0762-45fb-87a3-d315e218faf1,Rubble
b76bca12-884b-4404-bb9f-97d505b0fe58,Sand
5f1f7956-bc21-4bfd-a409-9740e614b2ac,Seagrass
30a987e9-b420-4db6-a83a-a1f7cabd14fb,Soft coral
20090bf4-868e-431b-974c-ab9be5bbdb5f,Turf algae
